project, year, totaltickets, opentickets, gcstars, totalrepowrites, watchers, collaborators, size
"31", "2008", "0", "0", "44", "44", "6", "1", "92"
"35", "2008", "0", "1", "229", "229", "33", "1", "84"
"36", "2008", "0", "0", "137", "137", "152", "1", "156"
"42", "2008", "29", "29", "1640", "1640", "201", "2", "264"
"43", "2008", "34", "34", "1036", "1036", "149", "2", "1111"
"47", "2008", "2", "2", "55", "55", "5", "2", "112"
"48", "2008", "0", "0", "2", "2", "16", "1", "92"
"52", "2008", "0", "0", "19", "19", "203", "1", "128"
"53", "2008", "0", "0", "20", "20", "482", "1", "184"
"54", "2008", "0", "0", "3", "3", "46", "1", "96"
"56", "2008", "0", "0", "1", "1", "1", "1", "96"
"61", "2008", "0", "0", "19", "19", "4", "2", "88"
"63", "2008", "0", "0", "63", "63", "100", "1", "80"
"65", "2008", "0", "0", "194", "194", "987", "12", "88"
"68", "2008", "38", "38", "1219", "1219", "788", "2", "3163"
"71", "2008", "11", "11", "503", "503", "214", "1", "762"
"73", "2008", "0", "0", "15", "15", "79", "1", "88"
"74", "2008", "1", "1", "52", "52", "24", "2", "80"
"75", "2008", "0", "0", "6", "6", "12", "1", "92"
"92", "2008", "0", "0", "7", "7", "8", "1", "92"
"93", "2008", "6", "6", "261", "261", "17", "2", "92"
"95", "2008", "0", "0", "1", "0", "1", "1", "88"
"98", "2008", "0", "0", "725", "725", "1920", "1", "228"
"102", "2008", "0", "0", "4", "4", "40", "1", "92"
"105", "2008", "0", "0", "19", "19", "12", "1", "96"
"118", "2008", "0", "0", "6", "6", "1", "1", "92"
"119", "2008", "0", "0", "1", "1", "3", "1", "92"
"120", "2008", "0", "0", "2", "2", "1", "1", "112"
"127", "2008", "0", "1", "81", "81", "24", "4", "84"
"129", "2008", "0", "0", "6", "6", "3", "1", "92"
"130", "2008", "60", "60", "656", "656", "228", "2", "2789"
"131", "2008", "1", "1", "3", "3", "1", "1", "92"
"137", "2008", "0", "0", "1", "1", "16", "1", "96"
"139", "2008", "0", "0", "41", "41", "3", "1", "92"
"140", "2008", "0", "0", "33", "33", "51", "1", "80"
"141", "2008", "0", "0", "1", "1", "2", "1", "108"
"142", "2008", "0", "7", "127", "127", "124", "1", "188"
"144", "2008", "34", "34", "1523", "1523", "538", "3", "1048"
"165", "2008", "7", "7", "492", "492", "125", "1", "132"
"176", "2008", "0", "0", "1", "1", "8", "1", "92"
"177", "2008", "2", "2", "66", "66", "125", "1", "80"
"179", "2008", "32", "32", "967", "967", "256", "6", "152"
"185", "2008", "2", "2", "138", "138", "18", "1", "168"
"186", "2008", "0", "0", "1", "1", "151", "1", "96"
"190", "2008", "0", "0", "3", "3", "13", "1", "100"
